kot cat ..\..\Photos\Animals\cat.bmp
krowa cow ..\..\Photos\Animals\cow.bmp
pies dog ..\..\Photos\Animals\dog.bmp
koñ horse ..\..\Photos\Animals\horse.bmp
œwinia pig ..\..\Photos\Animals\pig.bmp
owca sheep ..\..\Photos\Animals\sheep.bmp
niedŸwiedŸ bear ..\..\Photos\Animals\bear.bmp
gepard cheetah ..\..\Photos\Animals\cheetah.bmp
s³oñ elephant ..\..\Photos\Animals\elephant.bmp
tygrys tiger ..\..\Photos\Animals\tiger.bmp
lew lion ..\..\Photos\Animals\lion.bmp
ma³pa monkey ..\..\Photos\Animals\monkey.bmp
mysz mouse ..\..\Photos\Animals\mouse.bmp
królik rabbit ..\..\Photos\Animals\rabbit.bmp
szczur rat ..\..\Photos\Animals\rat.bmp
nietoperz bat ..\..\Photos\Animals\bat.bmp
byk bull ..\..\Photos\Animals\bull.bmp
cielê calf ..\..\Photos\Animals\calf.bmp
wielb³¹d camel ..\..\Photos\Animals\camel.bmp
delfin dolphin ..\..\Photos\Animals\dolphin.bmp
osio³ donkey ..\..\Photos\Animals\donkey.bmp
¿yrafa giraffe ..\..\Photos\Animals\giraffe.bmp
koza goat ..\..\Photos\Animals\goat.bmp
zaj¹c hare ..\..\Photos\Animals\hare.bmp
jagniê lamb ..\..\Photos\Animals\lamb.bmp
wiewiórka squirrel ..\..\Photos\Animals\squirrel.bmp
