pi瘯ny beautiful ..\..\Photos\Appearance\beautiful.bmp
gruby fat ..\..\Photos\Appearance\fat.bmp
niski short ..\..\Photos\Appearance\short.bmp
d逝gow這sy long-haired ..\..\Photos\Appearance\longhaired.bmp
stary old ..\..\Photos\Appearance\old.bmp
kr鏒kow這sy short-haired ..\..\Photos\Appearance\shorthaired.bmp
szczup造 slim ..\..\Photos\Appearance\slim.bmp
wysoki tall ..\..\Photos\Appearance\tall.bmp
m這dy young ..\..\Photos\Appearance\young.bmp
atrakcyjny attractive ..\..\Photos\Appearance\attractive.bmp
silny strong ..\..\Photos\Appearance\strong.bmp
造sy bald ..\..\Photos\Appearance\bald.bmp
modny fashionable ..\..\Photos\Appearance\fashionable.bmp
przystojny handsome ..\..\Photos\Appearance\handsome.bmp
elegancki smart ..\..\Photos\Appearance\smart.bmp
s豉by weak ..\..\Photos\Appearance\weak.bmp
blady pale ..\..\Photos\Appearance\pale.bmp
wysportowany fit ..\..\Photos\Appearance\fit.bmp
umi��niony muscular ..\..\Photos\Appearance\muscular.bmp
ciemnosk鏎y dark-skinned ..\..\Photos\Appearance\dark-skinned.bmp
bia這sk鏎y white-skinned ..\..\Photos\Appearance\white-skinned.bmp
zezowaty cross-eyed ..\..\Photos\Appearance\cross-eyed.bmp
ogolony clean-shaven ..\..\Photos\Appearance\clean-shaven.bmp
opalony tanned ..\..\Photos\Appearance\tanned.bmp
piegowaty freckled ..\..\Photos\Appearance\freckled.bmp
