grejpfrut grapefruit ..\..\Photos\Fruits\grapefruit.bmp
winogrona grapes ..\..\Photos\Fruits\grapes.bmp
cytryna lemon ..\..\Photos\Fruits\lemon.bmp
gruszka pear ..\..\Photos\Fruits\pear.bmp
kokos coconut ..\..\Photos\Fruits\coconut.bmp
brzoskwinia peach ..\..\Photos\Fruits\peach.bmp
ananas pineapple ..\..\Photos\Fruits\pineapple.bmp
figa fig ..\..\Photos\Fruits\fig.bmp
truskawka strawberry ..\..\Photos\Fruits\strawberry.bmp
arbuz watermelon ..\..\Photos\Fruits\watermelon.bmp
je¿yna blackberry ..\..\Photos\Fruits\blackberry.bmp
jagoda blueberry ..\..\Photos\Fruits\blueberry.bmp
wiœnia cherry ..\..\Photos\Fruits\cherry.bmp
malina raspberry ..\..\Photos\Fruits\raspberry.bmp
mandarynka tangerine ..\..\Photos\Fruits\tangerine.bmp
morela apricot ..\..\Photos\Fruits\apricot.bmp
awokado avocado ..\..\Photos\Fruits\avocado.bmp
pomarañcza orange ..\..\Photos\Fruits\orange.bmp
porzeczka currant ..\..\Photos\Fruits\currant.bmp
agrest gooseberry ..\..\Photos\Fruits\gooseberry.bmp
limonka lime ..\..\Photos\Fruits\lime.bmp
nektarynka nectarine ..\..\Photos\Fruits\nectarine.bmp
papaja papaya ..\..\Photos\Fruits\papaya.bmp
banan banana ..\..\Photos\Fruits\banana.bmp
jab³ko apple ..\..\Photos\Fruits\apple.bmp
