kucharz cook ..\..\Photos\Profession\cook.bmp
lekarz doctor ..\..\Photos\Profession\doctor.bmp
kierowca driver ..\..\Photos\Profession\driver.bmp
nauczyciel teacher ..\..\Photos\Profession\teacher.bmp
kelner waiter ..\..\Photos\Profession\waiter.bmp
kelnerka waitress ..\..\Photos\Profession\waitress.bmp
sprzedawca seller ..\..\Photos\Profession\seller.bmp
aptekarz chemist ..\..\Photos\Profession\chemist.bmp
sprz¹taczka cleaner ..\..\Photos\Profession\cleaner.bmp
tancerz dancer ..\..\Photos\Profession\dancer.bmp
dentysta dentist ..\..\Photos\Profession\dentist.bmp
in¿ynier engineer ..\..\Photos\Profession\engineer.bmp
rolnik farmer ..\..\Photos\Profession\farmer.bmp
pi³karz footballer ..\..\Photos\Profession\footballer.bmp
przewodnik guide ..\..\Photos\Profession\guide.bmp
kierownik manager ..\..\Photos\Profession\manager.bmp
mechanik mechanic ..\..\Photos\Profession\mechanic.bmp
pielêgniarka nurse ..\..\Photos\Profession\nurse.bmp
malarz painter ..\..\Photos\Profession\painter.bmp
pilot pilot ..\..\Photos\Profession\pilot.bmp
ksiêgowy accountant ..\..\Photos\Profession\accountant.bmp
piekarz baker ..\..\Photos\Profession\baker.bmp
programista programmer ..\..\Photos\Profession\programmer.bmp
rzeŸnik butcher ..\..\Photos\Profession\butcher.bmp
atleta athlete ..\..\Photos\Profession\athlete.bmp
